# Archivo de precios de termicas (plpcosce.dat)
# Numero de centrales termicas con cambio de costo variable
 200 
# Nombre de la central
'CMPC_PACIFICO_BL3'
# Numero de etapas
    48
# Mes   Etapa    CosVar
   08     047     163.2
   09     048     170.1
   10     049     174.2
   11     050     170.4
   12     051     160.2
# Nombre de la central
'ATA-TG1B+0.5TV1C_GNL_E'
# Numero de etapas
    44
# Mes   Etapa    CosVar
   05     008     066.2
   05     009     066.2
   05     010     066.2
   05     011     066.2
   06     012     066.0
   06     013     066.0
   06     014     066.0
   06     015     066.0
   07     016     066.8
   07     017     066.8
   07     018     066.8
   07     019     066.8
   08     020     070.1
   08     021     070.1
   08     022     070.1
   08     023     070.1
   09     024     074.3
   10     025     076.9
   11     026     075.1
   12     027     071.1
   01     028     068.6
   02     029     068.9
   03     030     070.6
   04     031     072.5
   05     032     072.7
   06     033     072.3
   07     034     073.1
   08     035     076.0
   09     036     080.2
   10     037     082.8
   11     038     080.4
   12     039     074.9
   01     040     071.2
   02     041     071.4
   03     042     073.2
   04     043     075.0
   05     044     075.2
   06     045     074.8
   07     046     075.5
   08     047     078.5
   09     048     082.9
   10     049     085.5
   11     050     083.1
   12     051     076.6
# Nombre de la central
'ATA-TG2A_GNL_E'
# Numero de etapas
    44
# Mes   Etapa    CosVar
   05     008     138.7
   05     009     138.7
   05     010     138.7
   05     011     138.7
   06     012     138.3
   06     013     138.3
   06     014     138.3
   06     015     138.3
   07     016     139.6
   07     017     139.6
   07     018     139.6
   07     019     139.6
   08     020     144.6
   08     021     144.6
   08     022     144.6
   08     023     144.6
   09     024     151.0
   10     025     155.0
   11     026     152.4
   12     027     146.2
   01     028     142.3
   02     029     142.7
   03     030     145.4
   04     031     148.3
   05     032     148.6
   06     033     148.0
   07     034     149.2
   08     035     153.7
   09     036     160.1
   10     037     164.2
   11     038     160.5
   12     039     152.0
   01     040     146.2
   02     041     146.6
   03     042     149.3
   04     043     152.2
   05     044     152.4
   06     045     151.8
   07     046     152.9
   08     047     157.5
   09     048     164.3
   10     049     168.4
   11     050     164.7
   12     051     154.6
# Nombre de la central
'ATA-TG2A+0.5TV2C_GNL_E'
# Numero de etapas
    44
# Mes   Etapa    CosVar
   05     008     069.8
   05     009     069.8
   05     010     069.8
   05     011     069.8
