uid,lmp_avg,lmp_min,lmp_max,name,plx_lmp,dlmp,adlmp
84,143.0192578333164,0.026080399751663208,467.0899963378906,Esmeralda110,36.97920048948105,106.04005734383534,106.04005734383534
85,143.0192578333164,0.026080399751663208,467.0899963378906,Esmeralda220,36.97920048948105,106.04005734383534,106.04005734383534
86,35.50910796983434,0.04092499986290932,61.96351623535156,Esperanza220,34.39632360989082,1.112784359943518,1.112784359943518
87,51.74662773949759,33.1120719909668,60.35044860839844,Florida110,46.47308650400387,5.273541235493724,5.273541235493724
88,50.007798876081196,32.02383804321289,56.07365036010742,Fopaco154,45.872148801200005,4.135650074881191,4.135650074881191
89,32.7247501565587,-0.3517000079154968,57.98039245605469,Francisco220,31.618008630061688,1.1067415264970109,1.1067415264970109
90,32.32428402126624,-0.06889930367469788,56.835208892822266,Guacolda220,31.131190309982063,1.193093711284174,1.193093711284174
91,53.6654631523859,35.12403869628906,64.05404663085938,Horcones066,48.79824561502393,4.867217537361967,4.867217537361967
92,50.30800565083822,32.266761779785156,56.38988494873047,Hualpen154,46.08646924997818,4.221536400860039,4.221536400860039
93,49.90274431591942,31.93997573852539,55.96540069580078,Hualpen220,45.81134101649793,4.0914032994214935,4.0914032994214935
94,33.18927424933229,0.2859255075454712,58.32949447631836,Huasco110,31.85553583896562,1.3337384103666743,1.3337384103666743
95,73.63770145461673,31.417133331298828,260.3583068847656,Itahue154,45.63374946680303,28.0039519878137,28.0039519878137
96,5.800130996099186,-0.38848400115966797,15.63499927520752,Jadresic220,11.719066122855812,-5.918935126756627,5.918935126756627
97,32.14919759891927,-0.3517000079154968,56.46718215942383,Jadresic500,31.203299614487005,0.9458979844322677,0.9458979844322677
98,34.353941596606525,-0.21202899515628815,60.21750259399414,Kapatur220_BP1,33.20953227522981,1.1444093213767133,1.1444093213767133
99,34.55577376322444,-0.15784290432929993,60.527896881103516,Laberinto220,33.780834470346925,0.7749392928775123,0.7749392928775123
100,37.246941682838255,6.299427509307861,58.09324264526367,LaCebada220,34.925658686417286,2.321282996420969,2.321282996420969
101,34.534880179823155,-0.0749363973736763,60.28555679321289,LaCruz220,33.243948790010506,1.2909313898126484,1.2909313898126484
