name,g_energy,p_energy,de,g_peak,p_peak,dp,g_loss_ana,g_loss_rep,rev
Miraje220->Atacama220,8040.007612287998,4875.5432368682,3164.4643754197978,199.1374969482422,67.4426565991271,131.69484034911508,64.46692570226483,176.06458450248465,0
Miraje220->TOEnlace220,19329.116458892822,16055.409662752278,3273.7067961405446,193.49327087402344,149.066374513057,44.426896360966424,739.4217520167026,2245.520572781563,0
MRedondo220->PuntaSierra220,1668.1879273429513,1666.9076434493063,1.2802838936449916,54.891056060791016,54.8940014791489,-0.0029454183578820903,1.4886008629586474,1.2224802963901311,0
Mulchen220->Cautin220,34451.164677619934,37423.254391418406,-2972.089713798472,412.36175537109375,436.84781176365,-24.486056392556236,634.9678597015269,876.5993421785533,0
Nogales220->Polpaico220,40696.97965055704,27637.57585528987,13059.403795267172,436.81317138671875,360.94505994918,75.86811143753874,396.47290928769235,387.76349945552647,0
Nogales220->Quillota220,-21125.827026367188,14539.448187411557,-35665.27521377875,254.00595092773438,224.988827152556,29.017123775178362,119.67953217472304,117.74981412338093,1
Nogales220->Ventanas220,-20249.30198574066,25176.644926633064,-45425.94691237372,353.8618469238281,337.228264915454,16.633582008374105,93.53859047135342,90.96729358445737,1
Norgener220->Barriles220,635.1620790958405,633.0021150440997,2.159964051740758,4.802411079406738,4.80246910902461,-5.802961787182426e-05,0.04136102428902941,0.9439227012917399,0
Norgener220->LaCruz220,-635.1620790958405,633.0021150440997,-1268.1641941399403,4.802411079406738,4.80246910902461,-5.802961787182426e-05,0.16793834668779373,4.217882573604584,1
NvaCardones500->Cardones220,-3443.634282708168,37315.29267151117,-40758.926954219336,490.87738037109375,562.837776693747,-71.9603963226532,4.186467080895395,10.06872031907551,1
NvaMaitenc500->Maitenc220,-33770.48855018616,37075.977622091974,-70846.46617227813,469.2777404785156,523.569757340235,-54.29201686171939,6.027745969584594,7.0580972178140655,1
NvaMaitenc500->NvaCardones500,-50236.45590186119,63905.37427380759,-114141.83017566879,1043.6563720703125,1051.3338759196,-7.677503849287405,184.37951888435003,579.2272148593329,1
NvaPAzucar500->NvaMaitenc500,-82840.25476074219,86985.02395685777,-169825.27871759995,1068.6937255859375,1090.51353221643,-21.819806630492394,503.8472025047754,1166.6898713074625,1
NvaPAzucar500->PAzucar220,-1652.7771201133728,8974.826015666533,-10627.603135779906,148.51388549804688,115.690773822762,32.82311167528488,1.1997404555180073,1.0389080995155382,1
NvaPAzucar500->Polpaico500_I,81296.18974590302,82062.28030348531,-766.0905575822981,1000.0,1000.0,0.0,1965.876812557165,1953.1238781437278,0
NvaPAzucar500->Polpaico500_II,3196.8422269821167,2772.215827573315,424.6263994088017,190.44287109375,289.904500370038,-99.46162927628802,13.531244111852645,11.786837123334408,0
NvaZaldivar220->Domeyko220,43730.57243347168,47854.92795580837,-4124.355522336693,378.92236328125,422.606351720128,-43.683988438877975,153.3830779736328,260.40907219052315,0
Ochagavia110->Florida110,-9623.578796386719,6311.199009575059,-15934.777805961778,83.14855194091797,63.4461006945555,19.70245124636247,32.595179932777064,27.967943720519543,1
OHiggins220->Domeyko220,7133.23716711998,5838.315445745856,1294.921721374124,286.7147216796875,135.123009183447,151.5917124962405,148.30397058759618,985.9129090539645,0
OHiggins220->Palestina220,4220.54867464304,3739.8895281607593,480.65914648228045,151.3902587890625,74.786398842146,76.6038599469165,35.989306415652834,98.24232901749201,0
Pachacama110->LVegas110,6335.080971181393,7137.727159347736,-802.6461881663436,97.04088592529297,70.4445089504444,26.596376974848567,22.658773193354428,21.737059833016247,0
Paine154->Tuniche154_I,8700.07263469696,8524.830762934178,175.24187176278247,116.49333953857422,98.8140181263954,17.679321412178822,86.68865101439994,85.84072478953749,0
Palestina220->Domeyko220,3077.0528667271137,2990.591601241375,86.46126548573875,137.64529418945312,64.6380957776604,73.00719841179273,35.786773340866596,110.25039405969437,0
PAlmonte220->Condores220,11015.367018461227,11398.817962365883,-383.450943904656,117.19104766845703,144.669438138912,-27.47839047045497,42.53522378343439,61.04281187057495,0
PAlmonte220->Lagunas220,-2847.4041055440903,9859.338548845693,-12706.742654389784,83.67532348632812,179.351671900676,-95.67634841434787,48.77057058241964,505.209317909088,1
PAlmonte220->PAlmonte110,-8176.353431612253,15555.564551542464,-23731.917983154715,158.1844482421875,206.116713712784,-47.93226547059649,0.0,0.0,1
Pampa110->Desalant110,3631.8211941719055,6926.115305478006,-3294.2941113061006,37.18645477294922,60.8936645660343,-23.707209793085084,24.010076066148414,34.890350269619375,0
Pangue220->LosNotros220,3582.9479875564575,5091.944349746344,-1508.996362189887,114.33333587646484,156.3044,-41.97106412353514,3.460396366500855,2.3239570192527026,0
Paposo220->Cachiyuyal220,-310.8063143771142,1272.3349804347363,-1583.1412948118505,15.582316398620605,25.5043521691622,-9.922035770541594,0.6663416560864904,11.384943483863026,1
Paposo220->Francisco220,-1355.4719417095184,2048.795940328624,-3404.2678820381425,24.46370506286621,37.2563758193695,-12.792670756503291,1.2884214117560553,16.033130582422018,1
PAzucar110->ElPenon110,-622.8405576646328,7401.119772919687,-8023.96033058432,87.30000305175781,102.228251993169,-14.928248941411184,107.79520855655096,107.13433182891458,1
PAzucar110->Maitenc110,-726.3595776678994,203.63831571922867,-929.9978933871281,10.945740699768066,4.48006473965934,6.465675960108727,19.545078090776197,16.51722253067419,1
PAzucar220->DonGoyo220,-11518.05652475357,11100.664499999997,-22618.72102475357,185.93621826171875,190.1,-4.163781738281244,111.53131626211727,106.60198188573122,1
PAzucar220->PAzucar110,7520.421424865723,12044.055431746507,-4523.634006880784,128.28587341308594,132.892071215093,-4.606197802007074,15.490403930963883,15.100327727850527,0
PAzucar220->PuntaSierra220,19414.73630064726,28130.70999847093,-8715.973697823672,314.7553405761719,353.147484745029,-38.3921441688571,204.39924183065105,200.64637199463323,0
PColorada220->PAzucar220,11891.968437194824,13582.723718405763,-1690.7552812109388,125.4166488647461,128.896588910982,-3.479940046235896,85.0446521078302,81.20505062118173,0
PColorada220->PAzucar220_II,12356.57299232483,14113.383951981652,-1756.810959656823,130.3165283203125,133.932419381858,-3.6158910615455113,38.21090251231897,35.732222291175276,0
Pehuenche220->Ancoa220,11787.856285095215,22154.271899716892,-10366.415614621677,274.0025634765625,318.041766025976,-44.03920254941352,13.526317450744628,11.64654596208129,0
Petroquim154->Hualpen154,-14862.818298339844,14735.486539303522,-29598.304837643365,106.82109832763672,106.113941195986,0.7071571316507175,15.893063255859374,15.778268989175558,1
Pid-Pid110->Chonchi110,-252.15064084529877,314.7836,-566.9342408452987,1.8726999759674072,1.9027,-0.03000002403259283,0.47564512334330084,62.46295367926359,1
Pillanlelbun066->Lautaro066,2857.19106733799,3419.6985148672356,-562.5074475292458,45.46583938598633,44.8710706816537,0.5947687043326297,103.06254631904511,150.64374692877755,0
PMontt220->Chiloe110,5393.313747644424,4722.443241520061,670.8705061243636,60.79605484008789,55.5466983876656,5.24935645242229,53.157391364730096,71.18554557673633,0
PMontt220->Molinos110,4567.507284164429,4525.559989209276,41.947294955152756,35.99352264404297,35.281370224237,0.7121524198059674,27.407540068634056,34.70730348676443,0
PNegro220->Candela220,40579.59719848633,33395.13947855075,7184.457719935577,600.5547485351562,294.853211494966,305.70153704019026,434.6809431892913,425.732131652534,0
Polpaico220->ElSalto110,63053.62161254883,47756.79206462954,15296.82954791929,527.2212524414062,405.926642535375,121.29460990603127,447.88799006007054,443.0888204574585,0
Polpaico500->Polpaico220,-24387.821523666382,34237.7834525158,-58625.604976182185,593.6787109375,517.245468011101,76.43324292639898,17.670583110687257,17.0117632644251,1
PPeuco110->LVegas110_I,-3219.464286804199,2745.2843573191753,-5964.748644123374,51.625423431396484,43.0739583491519,8.551465082244583,48.3097174376359,42.11011219676584,1
Prrahue220->Rahue220,4580.215250372887,6104.763903157284,-1524.5486527843977,88.78369903564453,83.6473049923801,5.136394043264431,2.6143053789389716,5.2750487912708195,0
Prropulli220->Prrahue220,-31.184086501598358,3748.476318111924,-3779.660404613522,54.92947769165039,60.8239806534378,-5.89450296178741,20.47968238152033,39.70307472767308,1
Prropulli220->Rahue220,266.0484480857849,3911.2545116760216,-3645.2060635902367,56.475852966308594,63.0359200771148,-6.560067110806209,15.152321199810027,30.390050811402034,0
Prropulli220->Tineo220,447.83500587940216,3693.8274361540257,-3245.9924302746235,56.34434127807617,52.4182593188399,3.926081959236271,21.96189834555446,733.6344588677748,0
PuntaSierra220->LPalmas220,63.976295471191406,9916.18614809602,-9852.209852624828,118.5054702758789,134.243234461356,-15.73776418547709,6.007695211005807,5.173464913503267,0
PuntaSierra220->Mauro220,25379.739780426025,29369.577144423816,-3989.837363997791,274.5127258300781,283.808029803136,-9.295303973057855,202.48114776579592,195.87126161158085,0
Quillota110->Mirafl110,9262.229120254517,11029.354488589766,-1767.1253683352497,91.7410888671875,94.4513384074361,-2.710249540248597,154.38815329284668,153.36790695786476,0
Quillota110->Pachacam110,15681.533336639404,11104.827565135236,4576.705771504168,156.00685119628906,128.151842308778,27.855008887511076,79.26548240649414,77.87907820101827,0
Quillota220->Mauro220,18493.367701768875,14719.055002040293,3774.3126997285817,234.9052734375,216.245615512851,18.659657924648997,396.1955141117549,381.69342336803675,0
Quillota220->Polpaico220,67911.0391330719,44810.77112442519,23100.268008646708,660.4801635742188,554.217396521683,106.26276705253576,425.10663657099605,418.0701111610979,0
Quillota220->Quillota110,35292.53770446777,32484.35715212697,2808.180552340804,260.1466064453125,245.880696411857,14.265910033455498,28.341903122618554,28.056222774088383,0
Quintero220->SanLuis220,483.18500077724457,3491.892984479617,-3008.7079837023725,8.119999885559082,143.124,-135.0040001144409,0.06657352498529025,0.0,0
