uid,mwh,name,plx_mwh,dmwh,admwh
1256,128.55360317230225,RECA,128.5535999999998,3.1723024562779756e-06,3.1723024562779756e-06
1257,264.7200003117323,RECOLETA_FV,265.17333331333333,-0.4533330016010382,0.4533330016010382
1258,312.75000125169754,REN_FV,313.66249997999995,-0.9124987283024097,0.9124987283024097
1259,796.3199615478516,RENAICO,796.3200000000008,-3.845214928333007e-05,3.845214928333007e-05
1260,9451.71916627884,RENAICO_2_EO,13440.349999999999,-3988.6308337211594,3988.6308337211594
1261,7314.759979724884,RENAICO_EO,7123.229746027814,191.5302336970699,191.5302336970699
1262,366.0400023087859,RENGO_FV,367.35166666666674,-1.3116643578808294,1.3116643578808294
1263,138.1000007390976,REXNER_FV,137.83249996999996,0.2675007690976372,0.2675007690976372
1264,459.0899999663234,RIMINI_FV,460.6474999600002,-1.5574999936767995,1.5574999936767995
1265,531.2999967038631,RINCONADA_ALCONES_FV,533.36999998,-2.0700032761368448,2.0700032761368448
1266,409.8900002539158,RINCONADA_FV,411.35499997999995,-1.4649997260841587,1.4649997260841587
1267,201.60000801086426,RIO_COLORADO,201.59999999999988,8.01086437718368e-06,8.01086437718368e-06
1268,3110.6000044345856,RIO_ESCONDIDO_FV,3065.55,45.05000443458539,45.05000443458539
1269,221.08799743652344,RIO_HUASCO,221.08800000000025,-2.5634768121562956e-06,2.5634768121562956e-06
1270,135.87499849684536,RIO_PEUCO_FV,136.28666661666662,-0.4116681198212575,0.4116681198212575
1271,324.4943947792053,RIO_PICOIQUEN,324.49439999999987,-5.220794548677077e-06,5.220794548677077e-06
1272,346.18080711364746,RIO_TRUENO,346.18080000000003,7.1136474275590444e-06,7.1136474275590444e-06
1273,88.39999994635582,RLA_FV,88.20000000000002,0.19999994635580265,0.19999994635580265
1274,262.21439266204834,ROBLERIA,262.2144,-7.337951672070631e-06,7.337951672070631e-06
1275,117.01999926194549,RODEO_FV,117.42833330333335,-0.4083340413878602,0.4083340413878602
1276,311.3300011754036,ROMERIA_FV,311.6199999600001,-0.28999878459649153,0.28999878459649153
1277,66.85000094026327,ROSARIO_FV,67.19249999999997,-0.3424990597366957,0.3424990597366957
1278,218.60000121593475,ROVIAN_FV,218.18333331333335,0.41666790260140374,0.41666790260140374
1279,472.5199994444847,RUCAPAINE_FV,474.10416665666685,-1.5841672121821375,1.5841672121821375
1280,4642.240989685059,RUCATAYO,4573.169355115028,69.07163457003026,69.07163457003026
1282,112.43000086024404,SAGRADA_FAMILIA_FORTUNA_15_FV,112.6616666666667,-0.23166580642266865,0.23166580642266865
1283,151.94500082731247,SALERNO_FV,152.46916664666665,-0.5241658193541809,0.5241658193541809
1284,2990.7599966153502,SALVADOR_FV,2983.296666666667,7.4633299486831675,7.4633299486831675
1285,97.21053213626146,SAMO_BAJO_FV,97.27583330333334,-0.06530116707187972,0.06530116707187972
1286,403.3699998110533,SAN_ALBERTO_FV,403.76749997000013,-0.39750015894685475,0.39750015894685475
1287,1000.5287225339562,SAN_ANDRES,1000.5286999999995,2.25339566668481e-05,2.25339566668481e-05
1288,2141.000003516674,SAN_ANDRES_FV,2135.9233333333336,5.076670183340411,5.076670183340411
1289,322.1499986127019,SAN_ANTONIO_FV,329.5241666666667,-7.374168053964809,7.374168053964809
1290,382.3299990147352,SAN_ANTONIO_SUNLIGHT_FV,383.4799999800002,-1.150000965264951,1.150000965264951
1291,129.535000115633,SAN_CAMILO_FV,129.0283333333333,0.5066667822997033,0.5066667822997033
1292,123.72499930858612,SAN_CARLOS_FV,125.72583333333324,-2.000834024747121,2.000834024747121
1294,13.209999743849039,SAN_EDUARDO_FV,13.152500000000009,0.05749974384903034,0.05749974384903034
1295,105.214999191463,SAN_EMILIO_1_FV,105.28333330333335,-0.06833411187035665,0.06833411187035665
1296,485.34499856829643,SAN_EUGENIO_FV,486.96749997,-1.6225014017035733,1.6225014017035733
1297,153.2999997511506,SAN_FRANCISCO_FV,153.48333330333335,-0.18333355218274505,0.18333355218274505
1298,111.56500010937452,SAN_FRANCISCO_PARRAL_FV,111.8141666366667,-0.24916652729217503,0.24916652729217503
1299,9065.93925189972,SAN_GABRIEL_EO,6385.440613272827,2680.498638626892,2680.498638626892
1315,15226.327109388541,SAN_ISIDRO_2-TG+TV_GN_A,17714.133654236386,-2487.8065448478446,2487.8065448478446
1316,37231.277059555054,SAN_ISIDRO_2-TG+TV_GN_B,30312.832398522787,6918.444661032267,6918.444661032267
1338,89.89999970793724,SAN_ISIDRO_FV,89.68333333333335,0.21666637460388927,0.21666637460388927
1363,24681.770233154297,SAN_ISIDRO-TG+TV_GN_A,19424.670561366605,5257.0996717876915,5257.0996717876915
1364,20969.716992761125,SAN_ISIDRO-TG+TV_GN_B,25941.064630629135,-4971.34763786801,4971.34763786801
1388,259.9249991327524,SAN_JAVIER_FV,260.43499994999996,-0.5100008172475441,0.5100008172475441
1389,153.02499812096357,SAN_JOSE_FV,160.16083333333333,-7.135835212369756,7.135835212369756
1390,6513.900012016296,SAN_JUAN_EO,6513.900000000003,1.2016293112537824e-05,1.2016293112537824e-05
1394,4383.361231908202,SAN_MATIAS_EO,3634.6172613840636,748.7439705241386,748.7439705241386
1395,1905.4000024795532,SAN_PEDRO_2_EO,1732.9000000000005,172.50000247955268,172.50000247955268
1396,1431.599995970726,SAN_PEDRO_EO,1418.7689236038082,12.831072366917851,12.831072366917851
1397,127.39999984949827,SAN_PEDRO_FV,127.30000000000003,0.09999984949824636,0.09999984949824636
1398,5237.37002325058,SAN_PEDRO_GPG_FV,3231.965848504848,2005.4041747457318,2005.4041747457318
1399,139.43500182032585,SAN_RAFAEL_FV,139.68583333333333,-0.2508315130074834,0.2508315130074834
1400,432.6999977827072,SAN_RAMIRO_FV,431.6999999800001,0.9999978027071279,0.9999978027071279
1401,402.7900036871433,SAN_VICENTE_TT_FV,404.13333333333344,-1.3433296461901136,1.3433296461901136
1402,511.52999448776245,SAND_SOLAR_FV,512.8399999899998,-1.3100055022373454,1.3100055022373454
1406,1.4224671423435211,SANISIDRO_2_CC_GNL,1.6800000000000013,-0.25753285765648015,0.25753285765648015
1410,0.6671199798583984,SANISIDRO_CC_GNL,1.6800000000000013,-1.0128800201416028,1.0128800201416028
1411,103.39999951422215,SANTA_ADRIANA_FV,103.13333332333333,0.26666619088881305,0.26666619088881305
1412,155.8649994470179,SANTA_AMELIA_FV,156.40916665666677,-0.5441672096488617,0.5441672096488617
1413,103.59499945305288,SANTA_BLANCA_ISLA_MAIPO_FV,103.86583332333333,-0.27083387028045536,0.27083387028045536
1414,134.1000010818243,SANTA_CAROLINA_FV,134.20666664666666,-0.10666556484235912,0.10666556484235912
1415,70.49999991804361,SANTA_CECILIA_FV,70.06666665666668,0.43333326137693007,0.43333326137693007
1416,96.53499970585108,SANTA_CLARA_FV,96.66583329333332,-0.13083358748224327,0.13083358748224327
1417,446.5999996513128,SANTA_CRUZ_FV,447.78,-1.1800003486871447,1.1800003486871447
1418,80.33759808540344,SANTA_ELENA,80.33760000000005,-1.914596609253749e-06,1.914596609253749e-06
1419,360.95500311627984,SANTA_ELIZABETH_FV,362.27666664666674,-1.3216635303868998,1.3216635303868998
1420,465.7700003609061,SANTA_EMILIA_FV,467.4583333233333,-1.6883329624271823,1.6883329624271823
1421,136.97000095248222,SANTA_ESTER_FV,144.0408333333333,-7.070832380851073,7.070832380851073
1422,2856.0,SANTA_FE_BL1,2856.0,0.0,0.0
1423,2072.0275506973267,SANTA_FE_BL2,1999.6214879084796,72.40606278884707,72.40606278884707
1424,1746.8518371582031,SANTA_FE_BL3,1658.3899999999992,88.46183715820393,88.46183715820393
1426,412.69999822974205,SANTA_FE_FV,410.71666665666675,1.9833315730753043,1.9833315730753043
1427,250.51000198163092,SANTA_FRANCISCA_FV,249.97249999999997,0.5375019816309532,0.5375019816309532
1428,140.3099992517382,SANTA_INES_FV,140.8408333133333,-0.530834061595101,0.530834061595101
1429,3.074400097131729,SANTA_ISABEL,3.074399999999998,9.713173110270645e-08,9.713173110270645e-08
1430,8874.979974985123,SANTA_ISABEL_FV,8566.473333333335,308.5066416517875,308.5066416517875
1431,124.99999991059303,SANTA_JULIA_FV,124.54166665666668,0.45833325392635516,0.45833325392635516
1432,89.30000051110983,SANTA_LAURA_FV,88.99999999000002,0.30000052110980846,0.30000052110980846
1434,235.0300021469593,SANTA_LUCIA_FV,235.22500000000002,-0.19499785304071793,0.19499785304071793
1435,123.42000036686659,SANTA_LUISA_FV,123.64500000000005,-0.22499963313346427,0.22499963313346427
