# Archivo de precios de termicas (plpcosce.dat)
# Numero de centrales termicas con cambio de costo variable
 271 
# Nombre de la central
'CMPC_PACIFICO_BL3'
# Numero de etapas
    72
# Mes   Etapa    CosVar
'NUEVA_VENTANAS'
# Numero de etapas
    72
# Mes   Etapa    CosVar
   07     001     047.3
   07     002     047.3
   07     003     047.3
   07     004     047.3
   08     005     047.3
   08     006     047.3
   08     007     047.3
   08     008     047.3
   09     009     047.3
   09     010     047.3
   09     011     047.3
   09     012     047.3
   10     013     047.3
   10     014     047.3
   10     015     047.3
   10     016     047.3
   11     017     049.5
   11     018     049.5
   11     019     049.5
   11     020     049.5
   12     021     051.5
   12     022     051.5
   12     023     051.5
   12     024     051.5
   01     025     053.2
   02     026     057.4
   03     027     060.4
   04     028     060.2
   05     029     060.6
   06     030     061.1
   07     031     061.5
   08     032     062.0
   09     033     062.4
   10     034     062.9
   11     035     063.3
   12     036     063.8
   01     037     064.3
   02     038     064.7
   03     039     065.2
   04     040     065.7
   05     041     066.2
   06     042     066.6
   07     043     067.1
   08     044     067.6
   09     045     068.1
   10     046     068.6
   11     047     069.1
   12     048     069.6
   01     049     070.1
   02     050     070.7
   03     051     071.2
   04     052     071.7
   05     053     072.2
   06     054     072.8
   07     055     073.3
   08     056     073.8
   09     057     074.4
   10     058     074.9
   11     059     075.5
   12     060     076.0
   01     061     076.6
   02     062     077.2
   03     063     077.7
   04     064     078.3
   05     065     078.9
   06     066     079.5
   07     067     080.1
   08     068     080.7
   09     069     081.3
   10     070     081.9
   11     071     082.5
   12     072     083.1
# Nombre de la central
'SANTA_MARIA'
# Numero de etapas
    72
# Mes   Etapa    CosVar
   07     001     049.3
   07     002     049.3
   07     003     049.3
   07     004     049.3
   08     005     050.9
   08     006     050.9
   08     007     050.9
   08     008     050.9
   09     009     050.3
   09     010     050.3
   09     011     050.3
   09     012     050.3
   10     013     052.6
   10     014     052.6
   10     015     052.6
   10     016     052.6
   11     017     049.4
   11     018     049.4
   11     019     049.4
   11     020     049.4
   12     021     050.4
   12     022     050.4
   12     023     050.4
   12     024     050.4
   01     025     054.8
   02     026     057.4
   03     027     051.0
   04     028     051.1
   05     029     051.5
   06     030     051.9
   07     031     052.3
   08     032     052.7
   09     033     053.1
   10     034     053.5
   11     035     053.9
   12     036     054.3
   01     037     054.7
   02     038     055.1
   03     039     055.5
   04     040     055.9
   05     041     056.3
   06     042     056.7
   07     043     057.2
   08     044     057.6
   09     045     058.0
   10     046     058.5
   11     047     058.9
   12     048     059.3
   01     049     059.8
   02     050     060.2
   03     051     060.7
   04     052     061.1
   05     053     061.6
   06     054     062.1
   07     055     062.5
   08     056     063.0
   09     057     063.5
   10     058     064.0
   11     059     064.4
   12     060     064.9
   01     061     065.4
   02     062     065.9
   03     063     066.4
   04     064     066.9
   05     065     067.4
   06     066     067.9
   07     067     068.4
   08     068     069.0
   09     069     069.5
   10     070     070.0
   11     071     070.5
   12     072     071.1
# Nombre de la central
'ATA-TG1A_GN_A'
# Numero de etapas
    70
# Mes   Etapa    CosVar
   07     003     112.9
   07     004     111.1
   08     005     110.0
   08     006     110.0
   08     007     110.0
   08     008     110.0
   09     009     109.1
   09     010     109.1
   09     011     109.1
   09     012     109.1
   10     013     108.6
   10     014     108.6
   10     015     108.6
   10     016     108.6
   11     017     108.2
   11     018     108.2
   11     019     108.2
   11     020     108.2
   12     021     107.9
   12     022     107.9
   12     023     107.9
   12     024     107.9
   01     025     107.8
   02     026     107.6
   03     027     107.4
   04     028     107.3
   05     029     107.2
   06     030     107.0
   07     031     106.9
   08     032     106.9
   09     033     106.9
   10     034     106.8
   11     035     106.7
   12     036     106.7
   01     037     106.7
   02     038     106.7
   03     039     106.7
   04     040     106.7
   05     041     106.6
   06     042     106.7
   07     043     106.7
   08     044     106.8
   09     045     106.8
   10     046     106.8
   11     047     106.9
   12     048     107.0
   01     049     107.0
   02     050     107.1
   03     051     107.2
   04     052     107.2
   05     053     107.2
   06     054     107.2
   07     055     107.2
   08     056     107.3
   09     057     107.3
   10     058     107.4
   11     059     107.5
   12     060     107.6
   01     061     107.6
   02     062     107.7
   03     063     107.7
   04     064     107.7
   05     065     107.8
   06     066     107.8
   07     067     107.8
   08     068     107.8
   09     069     107.8
   10     070     107.8
   11     071     107.8
   12     072     107.8
# Nombre de la central
'ATA-TG1A+0.5TV1C_GN_A'
# Numero de etapas
    70
# Mes   Etapa    CosVar
   07     003     074.3
   07     004     073.1
   08     005     072.4
   08     006     072.4
   08     007     072.4
   08     008     072.4
   09     009     071.8
   09     010     071.8
   09     011     071.8
   09     012     071.8
   10     013     071.4
   10     014     071.4
   10     015     071.4
   10     016     071.4
   11     017     071.2
   11     018     071.2
   11     019     071.2
   11     020     071.2
   12     021     071.0
   12     022     071.0
   12     023     071.0
   12     024     071.0
   01     025     070.9
   02     026     070.8
   03     027     070.7
   04     028     070.6
   05     029     070.5
   06     030     070.4
   07     031     070.4
   08     032     070.3
   09     033     070.3
   10     034     070.2
   11     035     070.2
   12     036     070.2
   01     037     070.2
   02     038     070.2
   03     039     070.2
   04     040     070.2
   05     041     070.2
   06     042     070.2
   07     043     070.2
   08     044     070.3
   09     045     070.3
   10     046     070.3
   11     047     070.3
   12     048     070.4
   01     049     070.4
   02     050     070.5
   03     051     070.5
   04     052     070.5
   05     053     070.5
   06     054     070.6
   07     055     070.6
   08     056     070.6
   09     057     070.6
   10     058     070.7
   11     059     070.7
   12     060     070.8
   01     061     070.8
   02     062     070.9
   03     063     070.9
   04     064     070.9
   05     065     070.9
   06     066     070.9
   07     067     070.9
   08     068     070.9
   09     069     070.9
   10     070     070.9
   11     071     070.9
   12     072     070.9
# Nombre de la central
'ATA-TG1A+TG1B+TV1C_GN_A'
# Numero de etapas
    70
# Mes   Etapa    CosVar
   07     003     069.0
   07     004     067.9
   08     005     067.2
   08     006     067.2
   08     007     067.2
   08     008     067.2
   09     009     066.7
   09     010     066.7
   09     011     066.7
   09     012     066.7
   10     013     066.4
   10     014     066.4
   10     015     066.4
   10     016     066.4
   11     017     066.1
   11     018     066.1
   11     019     066.1
   11     020     066.1
   12     021     066.0
   12     022     066.0
   12     023     066.0
   12     024     066.0
   01     025     065.9
   02     026     065.8
   03     027     065.7
   04     028     065.6
   05     029     065.5
   06     030     065.4
   07     031     065.4
   08     032     065.4
   09     033     065.3
   10     034     065.3
