# Archivo de mantenimientos embalses (plpmanem.dat)
# Numero de embalses con mantenimientos
 6 
# Nombre del embalse
'CIPRESES'
#   Numero de Etapas con mantenimiento
    72
#   Mes   Etapa     VolMin     VolMax
     07     003  0.4302661  1.1732862
     07     004  0.4094096  1.1732862
     08     005  0.4094096  1.1732862
     08     006  0.4094096  1.1732862
     08     007  0.4094096  1.1732862
     08     008  0.4094096  1.1732862
     09     009  0.4094096  1.1732862
     09     010  0.4094096  1.1732862
     09     011  0.4094096  1.1732862
     09     012  0.4094096  1.1732862
     10     013  0.4094096  1.1732862
     10     014  0.4094096  1.1732862
     10     015  0.4094096  1.1732862
     10     016  0.4094096  1.1732862
     11     017  0.4094096  1.1732862
     11     018  0.4094096  1.1732862
     11     019  0.4094096  1.1732862
     11     020  0.4094096  1.1732862
     12     021  0.4094096  1.1732862
     12     022  0.4094096  1.1732862
     12     023  0.4094096  1.1732862
     12     024  0.4094096  1.1732862
     01     025  0.4094096  1.1732862
     02     026  0.4094096  1.1732862
     03     027  0.4094096  1.1732862
     04     028  0.4094096  1.1732862
     05     029  0.4094096  1.1732862
     06     030  0.4094096  1.1732862
     07     031  0.4094096  1.1732862
     08     032  0.4094096  1.1732862
     09     033  0.4094096  1.1732862
     10     034  0.4094096  1.1732862
     11     035  0.4094096  1.1732862
     12     036  0.4094096  1.1732862
     01     037  0.4094096  1.1732862
     02     038  0.4094096  1.1732862
     03     039  0.4094096  1.1732862
     04     040  0.4094096  1.1732862
     05     041  0.4094096  1.1732862
     06     042  0.4094096  1.1732862
     07     043  0.4094096  1.1732862
     08     044  0.4094096  1.1732862
     09     045  0.4094096  1.1732862
     10     046  0.4094096  1.1732862
     11     047  0.4094096  1.1732862
     12     048  0.4094096  1.1732862
     01     049  0.4094096  1.1732862
     02     050  0.4094096  1.1732862
     03     051  0.4094096  1.1732862
     04     052  0.4094096  1.1732862
     05     053  0.4094096  1.1732862
     06     054  0.4094096  1.1732862
     07     055  0.4094096  1.1732862
     08     056  0.4094096  1.1732862
     09     057  0.4094096  1.1732862
     10     058  0.4094096  1.1732862
     11     059  0.4094096  1.1732862
     12     060  0.4094096  1.1732862
     01     061  0.4094096  1.1732862
     02     062  0.4094096  1.1732862
     03     063  0.4094096  1.1732862
     04     064  0.4094096  1.1732862
     05     065  0.4094096  1.1732862
     06     066  0.4094096  1.1732862
     07     067  0.4094096  1.1732862
     08     068  0.4094096  1.1732862
     09     069  0.4094096  1.1732862
     10     070  0.4094096  1.1732862
