# Archivo de demandas por barra (plpdem.dat)
# Numero de barras
241
# Nombre de la Barra
'Coronel066'
# Numero de Demandas
234
# Mes  Etapa   Demanda
   10    065    347.68
   10    066    279.46
   11    067    193.65
   11    068    339.59
   11    069    273.37
   11    070    193.89
   11    071    339.99
   11    072    273.62
   11    073    193.31
   11    074    338.94
   11    075    272.65
   11    076    190.81
   11    077    334.50
   11    078    268.90
   12    079    191.05
   12    080    336.71
   12    081    273.06
   12    082    188.15
   12    083    323.56
   12    084    267.93
   12    085    185.98
   12    086    332.55
   12    087    267.11
   12    088    183.33
   12    089    325.37
   12    090    262.05
   01    091    178.64
   01    092    301.93
   01    093    266.95
   02    094    204.25
   02    095    339.75
   02    096    302.39
   03    097    221.20
   03    098    375.39
   03    099    324.04
   04    100    196.27
   04    101    322.09
   04    102    280.90
   05    103    195.12
   05    104    323.43
   05    105    281.09
   06    106    206.54
   06    107    332.35
   06    108    283.90
   07    109    196.22
   07    110    326.00
   07    111    263.56
   08    112    192.26
   08    113    337.55
   08    114    272.16
   09    115    199.04
   09    116    351.84
   09    117    282.37
   10    118    193.91
   10    119    344.60
   10    120    277.46
   11    121    194.48
   11    122    340.99
   11    123    274.34
   12    124    194.99
   12    125    343.92
   12    126    279.01
   01    127    190.98
   01    128    324.15
   01    129    285.09
   02    130    213.25
   02    131    358.51
   02    132    316.99
   03    133    226.44
   03    134    379.26
   03    135    330.29
   04    136    211.60
   04    137    344.46
   04    138    303.17
   05    139    212.38
   05    140    355.00
   05    141    306.84
   06    142    219.81
   06    143    353.64
   06    144    302.18
   07    145    208.75
   07    146    344.43
   07    147    279.76
   08    148    205.53
   08    149    360.68
   08    150    290.89
   09    151    212.55
   09    152    378.16
   09    153    301.98
   10    154    189.61
   10    155    340.22
   10    156    272.39
   11    157    182.75
   11    158    321.09
   11    159    257.93
   12    160    200.63
   12    161    355.53
   12    162    286.92
   01    163    208.28
   01    164    347.09
   01    165    309.73
   02    166    221.98
   02    167    377.26
   02    168    329.45
   03    169    232.47
   03    170    390.48
   03    171    339.71
   04    172    230.43
   04    173    374.90
   04    174    330.93
   05    175    232.82
   05    176    388.32
   05    177    336.46
   06    178    227.56
   06    179    360.93
   06    180    311.62
   07    181    213.15
   07    182    352.34
   07    183    286.35
   08    184    210.42
   08    185    369.16
   08    186    297.79
   09    187    220.68
   09    188    383.12
   09    189    311.26
   10    190    193.35
   10    191    349.57
   10    192    278.26
   11    193    201.92
   11    194    354.05
   11    195    284.86
   12    196    209.37
   12    197    364.97
   12    198    298.56
   01    199    212.25
   01    200    358.61
   01    201    316.99
   02    202    232.41
   02    203    391.55
   02    204    344.09
   03    205    242.84
   03    206    409.62
   03    207    355.35
   04    208    240.33
   04    209    386.78
   04    210    345.19
   05    211    241.98
   05    212    403.58
   05    213    349.63
   06    214    237.71
   06    215    373.07
   06    216    325.47
   07    217    218.17
   07    218    365.80
   07    219    294.28
   08    220    218.41
   08    221    379.37
   08    222    308.15
   09    223    225.73
   09    224    396.44
   09    225    320.38
   10    226    194.47
   10    227    351.66
   10    228    279.83
   11    229    201.92
   11    230    354.05
   11    231    284.86
   12    232    215.46
   12    233    376.19
   12    234    307.13
# Nombre de la Barra
'Domeyko220'
# Numero de Demandas
234
# Mes  Etapa   Demanda
   07    001    118.39
   07    002    116.79
   07    003    117.26
   07    004    114.78
   07    005    114.31
   07    006    111.55
   07    007    111.10
   07    008    111.38
   07    009    109.82
   07    010    115.62
   07    011    122.21
   07    012    120.50
   07    013    120.71
   07    014    118.05
   07    015    117.40
   07    016    114.48
   07    017    114.07
   07    018    114.56
   07    019    112.60
   07    020    118.81
   07    021    118.19
   07    022    117.58
   07    023    115.94
   07    024    111.41
   07    025    114.30
   07    026    117.32
   07    027    117.05
   07    028    116.02
   07    029    111.27
   07    030    114.39
   08    031    125.33
   08    032    122.87
   08    033    127.53
   08    034    131.88
   08    035    130.18
   08    036    132.74
   08    037    130.42
   08    038    128.91
   08    039    131.82
   08    040    121.90
   08    041    119.48
   08    042    123.42
   09    043    155.82
   09    044    148.98
   09    045    152.35
   09    046    153.81
   09    047    147.57
   09    048    150.82
   09    049    157.30
   09    050    149.96
   09    051    153.65
   09    052    160.59
   09    053    154.08
   09    054    157.46
   10    055    138.87
   10    056    137.53
   10    057    138.00
   10    058    130.90
   10    059    129.14
   10    060    128.81
   10    061    131.23
   10    062    129.47
   10    063    129.13
   10    064    138.51
   10    065    138.77
   10    066    138.82
   11    067    126.54
   11    068    121.35
   11    069    125.52
   11    070    121.87
   11    071    116.88
   11    072    120.89
   11    073    126.41
   11    074    121.24
   11    075    125.39
   11    076    127.04
   11    077    121.84
   11    078    126.02
   12    079    136.26
   12    080    134.94
   12    081    135.40
   12    082    133.29
   12    083    132.99
   12    084    134.03
   12    085    135.83
   12    086    135.23
   12    087    136.02
   12    088    141.27
   12    089    139.63
   12    090    139.79
   01    091    155.26
   01    092    146.71
   01    093    144.89
   02    094    160.71
   02    095    153.50
   02    096    160.02
