# scale_objective=1000
type,phase,scene,name,rhs,coefficients
o,50,14,sddp_fcut_13_50_0_0,1.37596e+09,54874:-0,54905:432.148,54936:-0,54967:-0,54998:-0,55029:-0,55091:-0,55122:-0,sddp_alpha_13_49=1000
o,46,14,sddp_ecut_13_46_1_4,1.53209e+09,54874:0,54905:-7.72186,54936:0,54967:0,54998:0.473342,55029:476.387,55091:0,55122:433.88,sddp_alpha_13_45=1000
o,45,14,sddp_ecut_13_45_1_5,1.5749e+09,54874:0,54905:-7.62624,54936:0,54967:0,54998:0.630307,55029:474.949,55091:0,55122:695.477,sddp_alpha_13_44=1000
o,44,14,sddp_ecut_13_44_1_6,1.6178e+09,54874:0,54905:-7.53601,54936:0,54967:0,54998:0.772684,55029:426.213,55091:-1.75127,55122:653.452,sddp_alpha_13_43=1000
o,43,14,sddp_ecut_13_43_1_7,1.6659e+09,54874:0,54905:-7.42886,54936:0,54967:0,54998:0.927242,55029:471.204,55091:-4.07077,55122:855.818,sddp_alpha_13_42=1000
o,42,14,sddp_ecut_13_42_1_8,1.71736e+09,54374:0,54405:-7.30004,54436:0,54467:0,54498:1.11464,54529:506.619,54591:-5.34124,54622:918.962,sddp_alpha_13_41=1000
o,41,14,sddp_ecut_13_41_1_9,1.77064e+09,54374:0,54405:-7.13451,54436:0,54467:0,54498:1.36763,54529:555.806,54591:2100.04,54622:947.213,sddp_alpha_13_40=1000
o,40,14,sddp_ecut_13_40_1_10,1.82441e+09,54374:0,54405:-6.98717,54436:0,54467:0,54498:1.67782,54529:589.394,54591:2100.51,54622:940.787,sddp_alpha_13_39=1000
o,39,14,sddp_ecut_13_39_1_11,1.87367e+09,54374:0,54405:-6.86097,54436:0,54467:0,54498:1.93056,54529:546.934,54591:2105.98,54622:979.029,sddp_alpha_13_38=1000
o,38,14,sddp_ecut_13_38_1_12,1.92265e+09,54374:0,54405:-7.21961,54436:0,54467:0,54498:2.11203,54529:603.583,54591:2105.98,54622:823.187,sddp_alpha_13_37=1000
o,37,14,sddp_ecut_13_37_1_13,1.9634e+09,54374:0,54405:-7.58227,54436:0,54467:0,54498:2.26721,54529:602.939,54591:2105.98,54622:1002.84,sddp_alpha_13_36=1000
o,36,14,sddp_ecut_13_36_1_14,2.0078e+09,54374:0,54405:-8.42326,54436:0,54467:0,54498:2.44723,54529:593.85,54591:2105.98,54622:969.432,sddp_alpha_13_35=1000
o,35,14,sddp_ecut_13_35_1_15,2.0536e+09,54374:0,54405:-11.2677,54436:0,54467:0,54498:2.57964,54529:579.953,54591:1675.35,54622:750.363,sddp_alpha_13_34=1000
o,34,14,sddp_ecut_13_34_1_16,2.09741e+09,54374:0,54405:-11.9397,54436:0,54467:0,54498:2.67465,54529:581.443,54591:767.964,54622:348.403,sddp_alpha_13_33=1000
o,33,14,sddp_ecut_13_33_1_17,2.14585e+09,54374:0,54405:-11.8459,54436:0,54467:0,54498:2.80934,54529:472.615,54591:287.987,54622:500.136,sddp_alpha_13_32=1000
