# scale_objective=1000
type,phase,scene,name,rhs,coefficients
o,38,1,sddp_ecut_0_38_2_12,1.07086e+10,28004:-0,28035:-217.519,28066:-0,28097:-0,28128:26.4109,28159:9720.15,28221:39106.9,28252:16051.9,sddp_alpha_0_37=1000
o,37,1,sddp_ecut_0_37_2_13,1.13452e+10,28004:-0,28035:-217.435,28066:-0,28097:-0,28128:29.1229,28159:9720.15,28221:39106.9,28252:18680.9,sddp_alpha_0_36=1000
o,36,1,sddp_ecut_0_36_2_14,1.20428e+10,28004:-0,28035:-217.341,28066:-0,28097:-0,28128:32.0581,28159:9080.83,28221:35905.7,28252:16071.3,sddp_alpha_0_35=1000
o,35,1,sddp_ecut_0_35_2_15,1.27361e+10,28004:-0,28035:-217.247,28066:-0,28097:-0,28128:32.4771,28159:9137.83,28221:2580.42,28252:1154.99,sddp_alpha_0_34=1000
o,34,1,sddp_ecut_0_34_2_16,1.34395e+10,28004:-0,28035:-242.643,28066:-0,28097:-0,28128:32.7857,28159:10049.4,28221:-0,28252:4.79701,sddp_alpha_0_33=1000
o,33,1,sddp_ecut_0_33_2_17,1.42132e+10,28004:-0,28035:-242.538,28066:-0,28097:-0,28128:33.6685,28159:9534.65,28221:-0,28252:6.38583,sddp_alpha_0_32=1000
o,32,1,sddp_ecut_0_32_2_18,1.49819e+10,28004:-0,28035:-242.436,28066:-0,28097:-0,28128:34.5849,28159:-0,28221:-0,28252:5.4656,sddp_alpha_0_31=1000
o,31,1,sddp_ecut_0_31_2_19,1.5856e+10,28004:-0,28035:-240.023,28066:-0,28097:-0,28128:36.7393,28159:9973.64,28221:-0,28252:15652.4,sddp_alpha_0_30=1000
o,30,1,sddp_ecut_0_30_2_20,1.67923e+10,28004:8.16209,28035:-237.221,28066:8.16209,28097:-0,28128:39.9935,28159:10229.5,28221:-0,28252:16640,sddp_alpha_0_29=1000
o,29,1,sddp_ecut_0_29_2_21,1.77476e+10,28004:8.16209,28035:-233.919,28066:8.16209,28097:-0,28128:41.631,28159:10278.8,28221:11822.5,28252:-252.525,sddp_alpha_0_28=1000
o,28,1,sddp_ecut_0_28_2_22,1.87655e+10,28004:8.16209,28035:-233.815,28066:8.16209,28097:-0,28128:49.3369,28159:10654,28221:22697,28252:-254.539,sddp_alpha_0_27=1000
