# Archivo con la duracion de las etapas V20240102100052
# Etapas
     276   'H'
# Ano  Mes  Etapa FDesh   NHoras    FactTasa    TipoEtapa
 022 002   254    F     744   7.459261   '10 Bloques'
 022 003   255    F     720   7.518742   '10 Bloques'
 022 004   256    F     744   7.578697   '10 Bloques'
 022 005   257    F     744   7.639131   '10 Bloques'
 022 006   258    F     720   7.700046   '10 Bloques'
 022 007   259    T     744   7.761448   '10 Bloques'
 022 008   260    T     720   7.823338   '10 Bloques'
 022 009   261    T     744   7.885723   '10 Bloques'
 022 010   262    T     744   7.948605   '10 Bloques'
 022 011   263    T     672   8.011988   '10 Bloques'
 022 012   264    T     744   8.075877   '10 Bloques'
 023 001   265    F     720   8.140275   '10 Bloques'
 023 002   266    F     744   8.205187   '10 Bloques'
 023 003   267    F     720   8.270616   '10 Bloques'
 023 004   268    F     744   8.336567   '10 Bloques'
 023 005   269    F     744   8.403044   '10 Bloques'
 023 006   270    F     720   8.470051   '10 Bloques'
 023 007   271    T     744   8.537592   '10 Bloques'
 023 008   272    T     720   8.605672   '10 Bloques'
 023 009   273    T     744   8.674295   '10 Bloques'
 023 010   274    T     744   8.743465   '10 Bloques'
 023 011   275    T     672   8.813187   '10 Bloques'
 023 012   276    T     744   8.883464   '10 Bloques'
