#IPDNumIte, IEtapa, ISimul, LDPhiPrv, Emb  1, Emb  2, Emb  3, Emb  4, Emb  5, Emb  6, Emb  7, Emb  8, Emb  9
17,1,3,1756630500,-78.663556,-45.727464,-20.985841,-9.3252304,-16.329971,-4.3000083,-8.9824848,-17.768862,-7.6934374
17,1,4,1735305900,-84.32219,-50.535714,-24.500213,-11.756535,-38.702156,-4.4747828,-8.9636663,-20.611886,-9.7499368
17,1,5,1722506200,-102.94911,-45.73259,-23.793211,-11.361841,-56.02739,-4.5693744,-12.369553,-20.561451,-9.336355
17,1,6,1811224900,-106.97216,-55.940675,-24.24956,-11.69997,-31.191025,-4.5547976,-9.5027369,-19.735236,-8.480499
17,1,7,1783452000,-139.18774,-68.49806,-25.562743,-12.630086,-58.102379,-4.4908294,-9.9483716,-20.756826,-9.8561388
17,1,8,1775942300,-133.76364,-96.529693,-27.129825,-14.183129,-41.446127,-4.5004457,-13.398749,-20.901986,-9.8072742
17,1,9,1651682100,-133.82255,-128.97335,-27.071344,-14.059131,-60.505034,-4.5130333,-13.14176,-20.925029,-9.9807242
17,1,10,1547959000,-137.80706,-68.874184,-24.89184,-12.024987,-57.445235,-4.4972051,-11.370181,-20.822375,-9.7493474
17,1,11,1531752000,-153.92142,-71.380877,-25.321061,-12.449573,-29.762295,-4.5000514,-9.6534971,-20.813037,-9.653502
17,1,12,1565162800,-170.25663,-102.69238,-27.150883,-14.23895,-42.199202,-4.6541653,-12.096847,-20.896863,-9.745921
17,1,13,1356019400,-99.695788,-70.380014,-26.987753,-13.969524,-59.439991,-4.5247559,-13.686213,-21.034024,-9.8568837
17,1,14,1356258200,-84.556259,-56.977363,-23.604342,-11.014798,-57.344919,-4.5672241,-12.788426,-20.172195,-8.8046532
17,1,15,1433647600,-78.572261,-47.696846,-22.037897,-10.189306,-21.076616,-4.4388688,-8.3010905,-18.453429,-7.5425791
17,1,16,1322553600,-83.288506,-56.843422,-26.035152,-13.194796,-45.324636,-4.5639064,-10.360646,-20.606153,-9.7760123
17,1,17,1354026000,-70.254181,-31.561408,-18.200835,-8.0181019,-14.650276,-4.2149558,-5.9421808,-16.580441,-6.9014634
17,1,18,1299964500,-112.78371,-60.789489,-26.041194,-13.392128,-41.223289,-4.5285833,-10.711414,-19.778762,-8.7120295
17,1,19,1366969200,-77.245607,-25.734627,-16.650215,-7.2862124,-20.037459,-4.116512,-8.9159652,-14.263112,-6.4250856
17,1,20,1484569300,-73.12746,-40.406446,-19.434329,-9.1136299,-28.319844,-4.2953133,-9.3595818,-16.273995,-7.1434275
17,1,21,1446727800,-65.416297,-96.175265,-23.782178,-11.627067,-43.288973,-4.493736,-12.761504,-19.728178,-8.6207213
17,1,22,1233619000,-99.278281,-69.999348,-27.489265,-14.159947,-60.250301,-4.6449638,-12.830549,-21.335004,-10.125684
17,1,23,1233619000,-99.278281,-69.999348,-27.489265,-14.159947,-60.250301,-4.6449638,-12.830549,-21.335004,-10.125684
17,1,24,1233619000,-99.278281,-69.999348,-27.489265,-14.159947,-60.250301,-4.6449638,-12.830549,-21.335004,-10.125684
17,1,25,1233619000,-99.278281,-69.999348,-27.489265,-14.159947,-60.250301,-4.6449638,-12.830549,-21.335004,-10.125684
17,1,26,1233619000,-99.278281,-69.999348,-27.489265,-14.159947,-60.250301,-4.6449638,-12.830549,-21.335004,-10.125684
17,1,27,1233619000,-99.278281,-69.999348,-27.489265,-14.159947,-60.250301,-4.6449638,-12.830549,-21.335004,-10.125684
18,1,1,1472369400,-55.561903,-42.281188,-21.198848,-9.2290068,-56.875579,-4.5074817,-0.18233135,-19.945006,-8.8162057
18,1,2,1632704000,-72.33157,-26.033276,-17.558216,-7.4766818,-16.511797,-4.2206209,-4.8365111,-16.372458,-7.1671055
18,1,3,1739934400,-68.437156,-40.135325,-20.192521,-9.3105335,-13.821289,-4.2849882,-8.8613513,-18.158206,-7.5251998
18,1,4,1733098000,-84.316605,-50.443056,-24.422637,-11.749934,-18.766424,-4.4594873,-11.731529,-20.500145,-9.6867564
18,1,5,1737689500,-98.21077,-57.183153,-27.04059,-14.146128,-25.049092,-4.5664,-13.6495,-20.799195,-9.7810202
18,1,6,1757718100,-70.146573,-62.287639,-22.892411,-10.636457,-24.479743,-4.4988789,-7.3278147,-20.236691,-9.141663
18,1,7,1784711900,-139.22488,-69.526657,-26.730331,-13.781295,-56.125469,-4.4889173,-9.926254,-20.784533,-9.885754
18,1,8,1776229100,-141.29894,-112.58582,-24.725574,-11.79392,-29.258683,-4.4948019,-11.586445,-20.747623,-9.8534778
18,1,9,1655252800,-132.09915,-107.01583,-27.392166,-14.183741,-61.256092,-4.5882513,-11.534441,-21.252429,-10.146321
18,1,10,1548559900,-137.7864,-68.25831,-24.995933,-12.064947,-54.581333,-4.4865986,-11.365054,-20.751858,-9.8552597
18,1,11,1535075500,-154.54247,-74.356149,-25.327905,-12.454677,-47.401594,-4.5027008,-10.197235,-20.816723,-9.6429066
18,1,12,1562154800,-171.38501,-119.90801,-24.958445,-12.109019,-36.947762,-4.6288116,-11.96853,-20.787716,-9.6140764
18,1,13,1358465100,-101.50114,-71.274745,-27.829388,-14.335957,-60.693487,-4.6827353,-13.694915,-21.662068,-10.323947
18,1,14,1355982600,-81.234683,-55.268233,-23.308577,-10.940593,-30.316519,-4.5129749,-12.775373,-19.772718,-8.5729661
18,1,15,1435947600,-77.944034,-35.830398,-21.360916,-10.319032,-28.311365,-4.4513017,-7.4554346,-19.039774,-8.2617838
18,1,16,1320679300,-84.485756,-57.298053,-26.596768,-13.698073,-18.624075,-4.4829743,-13.182087,-20.723729,-9.8742229
18,1,17,1360335300,-69.962925,-37.450491,-19.15002,-8.5405894,-21.395866,-4.330882,-8.4093209,-16.770263,-7.2518179
18,1,18,1284387600,-57.745089,-49.022588,-24.878121,-12.899164,-19.132209,-4.423462,-5.093796,-19.642782,-8.7396892
18,1,19,1365886900,-76.940729,-32.558419,-16.519892,-6.9439201,-19.717231,-4.1041024,-4.461481,-12.538378,-5.865454
18,1,20,1471141300,-70.512325,-34.603766,-16.717882,-6.92287,-28.678127,-4.2632289,-0.30465468,-15.541552,-6.7036209
18,1,21,1466658500,-90.69436,-120.05012,-24.017935,-11.434545,-26.156123,-4.4956617,-11.872667,-19.79335,-8.5668443
18,1,22,1231474700,-73.180109,-56.344303,-26.667201,-13.765701,-59.416053,-4.5452318,-12.554331,-20.884161,-9.8179497
18,1,23,1231474700,-73.180109,-56.344303,-26.667201,-13.765701,-59.416053,-4.5452318,-12.554331,-20.884161,-9.8179497
18,1,24,1231474700,-73.180109,-56.344303,-26.667201,-13.765701,-59.416053,-4.5452318,-12.554331,-20.884161,-9.8179497
18,1,25,1231474700,-73.180109,-56.344303,-26.667201,-13.765701,-59.416053,-4.5452318,-12.554331,-20.884161,-9.8179497
18,1,26,1231474700,-73.180109,-56.344303,-26.667201,-13.765701,-59.416053,-4.5452318,-12.554331,-20.884161,-9.8179497
18,1,27,1231474700,-73.180109,-56.344303,-26.667201,-13.765701,-59.416053,-4.5452318,-12.554331,-20.884161,-9.8179497
19,1,1,1472875500,-55.400625,-43.54621,-24.311843,-12.604474,-19.13129,-4.419522,-0.029789541,-19.743338,-8.8088038
19,1,2,1636039700,-77.565647,-20.357196,-17.399936,-7.1678648,-16.573029,-4.2425143,-5.1755439,-16.470601,-6.9361051
19,1,3,1754311000,-77.809151,-41.443518,-20.812226,-9.7818603,-14.385916,-4.2792297,-9.0323229,-17.513004,-7.5563662
