#IPDNumIte, IEtapa, ISimul, LDPhiPrv, Emb  1, Emb  2, Emb  3, Emb  4, Emb  5, Emb  6, Emb  7, Emb  8, Emb  9, Emb  10
26,1,7,2058692735,-81.22840548,-63.61660222,-31.57758735,-16.15299815,-50.97014369,-5.917121782,-1.65485134,-23.59730213,-10.57809151,-5.400888096
26,1,8,2058506884,-81.22887076,-63.69109095,-31.57158811,-16.19462498,-50.96928981,-6.083212921,-1.788821893,-23.59965581,-10.5326611,-5.559286935
26,1,9,1987145001,-81.11146334,-178.0195787,-32.85086593,-16.60751669,-51.2288164,-6.24670708,-1.873472024,-23.97676527,-10.93916459,-6.30816737
26,1,10,2054624278,-81.23682078,-70.75821659,-32.518058,-16.46249408,-51.19788968,-6.203301022,-1.764502388,-23.72817273,-10.74513283,-6.433562244
26,1,11,2054363566,-81.51607881,-64.08676216,-31.59478315,-16.16979237,-51.15867113,-6.16760091,-1.561188845,-23.59559827,-10.55447395,-5.36355834
26,1,12,1991532914,-82.55432421,-283.8823244,-32.98611379,-16.77420723,-50.25964535,-6.235133344,-1.74869007,-24.09477963,-10.91257458,-5.946566108
26,1,13,2039430208,-83.63843203,-125.4347539,-32.75749053,-16.70605694,-50.25385276,-6.203956441,-1.522664701,-23.95433573,-10.71175833,-5.51526003
26,1,14,2041785193,-84.2267493,-161.8132295,-33.05943933,-16.84591729,-50.26445539,-6.226327235,-1.468641848,-24.12521768,-10.89500616,-5.89424334
26,1,15,2066034257,-89.71838501,-156.4189761,-33.73419701,-16.86164058,-50.28862257,-6.406005414,-1.668577054,-24.16949711,-11.62942631,-6.306769195
26,1,16,2046333874,-85.30476951,-83.00694134,-33.39025879,-16.82092222,-50.27687364,-6.359835889,-1.717571262,-23.87321873,-11.46881935,-6.768553349
26,1,17,2049924706,-85.19997919,-66.63441755,-32.66794783,-16.7647418,-50.25273635,-6.19194095,-1.716017258,-23.82553549,-10.75667967,-6.159550034
26,1,18,2072608459,-103.6631965,-255.3496711,-37.06962205,-18.66027179,-50.60072042,-6.846018307,-3.782325223,-24.52070564,-12.64829404,-5.979403717
26,1,19,2033693897,-84.68323032,-213.2028802,-32.96970558,-16.85134077,-50.26252669,-6.205724758,-1.591814692,-24.12028807,-10.80634931,-5.641980037
26,1,20,2042296999,-84.70740141,-83.51462898,-32.66880171,-16.83489877,-50.25729166,-6.19243937,-1.726207115,-24.04714708,-10.76014274,-6.563723232
26,1,21,2012476292,-82.85380366,-290.0938953,-38.68433312,-20.57775045,-50.32100101,-6.746283798,-1.825440735,-24.49033907,-12.42105167,-6.491688775
26,1,22,2075119533,-84.06119726,-68.05545713,-34.16587662,-16.83946838,-50.31118208,-6.564082588,-3.110293188,-24.29791265,-11.99596966,-6.696857583
26,1,23,2088920626,-115.8128923,-258.1686995,-38.98688107,-20.16872003,-50.65817581,-6.959887922,-8.074343721,-28.81999392,-12.94166729,-8.858100672
26,1,24,2080204714,-105.8891651,-255.6348815,-35.0847859,-16.90076296,-50.34546712,-6.791677687,-5.079950218,-24.48878208,-12.52474169,-6.803388796
26,1,25,2048812197,-85.10508449,-66.17973266,-32.1571514,-16.70976747,-50.24357894,-6.167882287,-1.559279644,-23.66023558,-10.52543434,-5.839143978
26,1,26,2049181430,-81.56480568,-65.89604669,-31.70651236,-16.35238685,-50.20761734,-6.074265019,-1.712785522,-23.72774124,-10.53372656,-6.352932872
